cell,cell_type
Cell1501,group2
Cell1502,group4
Cell1503,group1
Cell1504,group2
Cell1505,group2
Cell1506,group2
Cell1507,group2
Cell1508,group3
Cell1509,group4
Cell1510,group3
Cell1511,group5
Cell1512,group1
Cell1513,group2
Cell1514,group2
Cell1515,group4
Cell1516,group2
Cell1517,group2
Cell1518,group1
Cell1519,group5
Cell1520,group1
Cell1521,group2
Cell1522,group3
Cell1523,group1
Cell1524,group3
Cell1525,group2
Cell1526,group3
Cell1527,group5
Cell1528,group1
Cell1529,group1
Cell1530,group3
Cell1531,group3
Cell1532,group3
Cell1533,group2
Cell1534,group3
Cell1535,group4
Cell1536,group4
Cell1537,group3
Cell1538,group2
Cell1539,group2
Cell1540,group5
Cell1541,group3
Cell1542,group4
Cell1543,group5
Cell1544,group3
Cell1545,group4
Cell1546,group4
Cell1547,group4
Cell1548,group4
Cell1549,group4
Cell1550,group4
Cell1551,group1
Cell1552,group2
Cell1553,group4
Cell1554,group3
Cell1555,group3
Cell1556,group4
Cell1557,group2
Cell1558,group1
Cell1559,group5
Cell1560,group3
Cell1561,group3
Cell1562,group3
Cell1563,group2
Cell1564,group3
Cell1565,group4
Cell1566,group4
Cell1567,group2
Cell1568,group2
Cell1569,group2
Cell1570,group4
Cell1571,group3
Cell1572,group1
Cell1573,group1
Cell1574,group4
Cell1575,group1
Cell1576,group5
Cell1577,group5
Cell1578,group2
Cell1579,group1
Cell1580,group2
Cell1581,group5
Cell1582,group2
Cell1583,group2
Cell1584,group1
Cell1585,group5
Cell1586,group4
Cell1587,group2
Cell1588,group2
Cell1589,group2
Cell1590,group2
Cell1591,group2
Cell1592,group1
Cell1593,group5
Cell1594,group2
Cell1595,group3
Cell1596,group2
Cell1597,group2
Cell1598,group4
Cell1599,group3
Cell1600,group5
Cell1601,group5
Cell1602,group2
Cell1603,group3
Cell1604,group2
Cell1605,group2
Cell1606,group2
Cell1607,group3
Cell1608,group4
Cell1609,group3
Cell1610,group5
Cell1611,group1
Cell1612,group5
Cell1613,group2
Cell1614,group3
Cell1615,group2
Cell1616,group2
Cell1617,group2
Cell1618,group2
Cell1619,group1
Cell1620,group2
Cell1621,group3
Cell1622,group3
Cell1623,group4
Cell1624,group2
Cell1625,group1
Cell1626,group2
Cell1627,group4
Cell1628,group2
Cell1629,group3
Cell1630,group1
Cell1631,group2
Cell1632,group3
Cell1633,group2
Cell1634,group4
Cell1635,group4
Cell1636,group4
Cell1637,group2
Cell1638,group1
Cell1639,group1
Cell1640,group3
Cell1641,group2
Cell1642,group2
Cell1643,group3
Cell1644,group2
Cell1645,group4
Cell1646,group1
Cell1647,group4
Cell1648,group1
Cell1649,group1
Cell1650,group2
Cell1651,group4
Cell1652,group4
Cell1653,group2
Cell1654,group5
Cell1655,group2
Cell1656,group3
Cell1657,group4
Cell1658,group5
Cell1659,group2
Cell1660,group2
Cell1661,group3
